all,chinese, u_s,name,
中国人民大学：英文缩写RUC,中国人民大学：英文缩写,RUC,中国人民大学,RUC: 中国人民大学
东南大学：简称“东大”，英文缩写SEU,东南大学：简称“东大”，英文缩写,SEU,东南大学,SEU: 东南大学
东华大学：英文缩写DHU,东华大学：英文缩写,DHU,东华大学,DHU: 东华大学
上海外国语大学：简称“上外”，英文缩写SISU,上海外国语大学：简称“上外”，英文缩写,SISU,上海外国语大学,SISU: 上海外国语大学
武汉理工大学：简称“武汉理工”，英文缩写WUT,武汉理工大学：简称“武汉理工”，英文缩写,WUT,武汉理工大学,WUT: 武汉理工大学
华中师范大学：简称“华中师大”，英文缩写CCNU,华中师范大学：简称“华中师大”，英文缩写,CCNU,华中师范大学,CCNU: 华中师范大学
吉林大学：简称“吉大”，英文缩写JLU,吉林大学：简称“吉大”，英文缩写,JLU,吉林大学,JLU: 吉林大学
上海交通大学：简称“上海交大”，英文缩写SJTU,上海交通大学：简称“上海交大”，英文缩写,SJTU,上海交通大学,SJTU: 上海交通大学
同济大学：简称“同济”，英文和德文译名Tongji,同济大学：简称“同济”，英文和德文译名,Tongji,同济大学,Tongji: 同济大学
四川大学：简称“川大”，英文缩写SCU,四川大学：简称“川大”，英文缩写,SCU,四川大学,SCU: 四川大学
西北农林科技大学：英文缩写NWAFU,西北农林科技大学：英文缩写,NWAFU,西北农林科技大学,NWAFU: 西北农林科技大学
东北师范大学：简称“东北师大”，英文缩写NENU,东北师范大学：简称“东北师大”，英文缩写,NENU,东北师范大学,NENU: 东北师范大学
上海财经大学：简称“上海财大”或“上财”，英文缩写SUFE,上海财经大学：简称“上海财大”或“上财”，英文缩写,SUFE,上海财经大学,SUFE: 上海财经大学
中国矿业大学：简称“中国矿大”，英文缩写CUMT,中国矿业大学：简称“中国矿大”，英文缩写,CUMT,中国矿业大学,CUMT: 中国矿业大学
西南大学：英文缩写SWU,西南大学：英文缩写,SWU,西南大学,SWU: 西南大学英文
山东大学：简称“山大”，英文缩写SDU,山东大学：简称“山大”，英文缩写,SDU,山东大学,SDU: 山东大学
兰州大学：简称“兰大”，英文缩写LZU,兰州大学：简称“兰大”，英文缩写,LZU,兰州大学,LZU: 兰州大学
天津大学：简称“天大”，英文缩写TJU,天津大学：简称“天大”，英文缩写,TJU,天津大学,TJU: 天津大学
东北大学：英文缩写NEU,东北大学：英文缩写,NEU,东北大学,NEU: 东北大学英文
华东师范大学：简称“华东师大”，英文缩写ECNU,华东师范大学：简称“华东师大”，英文缩写,ECNU,华东师范大学,ECNU: 华东师范大学
武汉大学：简称“武大”，英文缩写WHU,武汉大学：简称“武大”，英文缩写,WHU,武汉大学,WHU: 武汉大学
重庆大学：简称“重大”，英文缩写CQU,重庆大学：简称“重大”，英文缩写,CQU,重庆大学,CQU: 重庆大学
北京外国语大学：简称“北外”，英文缩写BFSU,北京外国语大学：简称“北外”，英文缩写,BFSU,北京外国语大学,BFSU: 北京外国语大学
北京大学：简称“北大”,北京大学：简称“北大”,,北京大学,: 北京大学
清华大学：无,清华大学：无,,清华大学,: 清华大学
中国农业大学：简称“中国农大”，英文缩写CAU,中国农业大学：简称“中国农大”，英文缩写,CAU,中国农业大学,CAU: 中国农业大学
南开大学：简称“南开”，英文缩写NKU,南开大学：简称“南开”，英文缩写,NKU,南开大学,NKU: 南开大学
浙江大学：简称“浙大”，英文缩写ZJU,浙江大学：简称“浙大”，英文缩写,ZJU,浙江大学,ZJU: 浙江大学
中南大学：英文缩写CSU,中南大学：英文缩写,CSU,中南大学,CSU: 中南大学
中山大学：简称“中大”，英文缩写SYSU,中山大学：简称“中大”，英文缩写,SYSU,中山大学,SYSU: 中山大学
电子科技大学：英文缩写UESTC,电子科技大学：英文缩写,UESTC,电子科技大学,UESTC: 电子科技大学
西安交通大学：简称“西安交大”，英文缩写XJTU,西安交通大学：简称“西安交大”，英文缩写,XJTU,西安交通大学,XJTU: 西安交通大学
中国海洋大学：简称“中国海大”，英文缩写OUC,中国海洋大学：简称“中国海大”，英文缩写,OUC,中国海洋大学,OUC: 中国海洋大学
北京师范大学：简称“北师大”，英文缩写BNU,北京师范大学：简称“北师大”，英文缩写,BNU,北京师范大学,BNU: 北京师范大学
大连理工大学：简称“大工”，英文缩写DUT,大连理工大学：简称“大工”，英文缩写,DUT,大连理工大学,DUT: 大连理工大学
复旦大学：无,复旦大学：无,,复旦大学,: 复旦大学
南京大学：简称“南大”，英文缩写NJU,南京大学：简称“南大”，英文缩写,NJU,南京大学,NJU: 南京大学
厦门大学：简称“厦大”，英文缩写XMU,厦门大学：简称“厦大”，英文缩写,XMU,厦门大学,XMU: 厦门大学
华中科技大学：简称“华中大”，英文缩写HUST,华中科技大学：简称“华中大”，英文缩写,HUST,华中科技大学,HUST: 华中科技大学
