web-scraper-order,web-scraper-start-url,getinto-link,getinto-link-href,frequency,class,duration,rate,学时安排,number,active state,课程评价数,授课教师
"1553835605-199","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","无机化学（上）","https://www.icourse163.org/course/DLUT-1001630001","第5次开课","理学","2019年02月19日 ~ 2019年05月27日","进行至第6周，共14周","3-5小时每周","已有4193人参加","立即参加","(71)","授课老师



孟长功
教授，国家级教学名师，教育部高等学校实验教学指导委员会委员





胡涛
教授，辽宁省普通高等学校化学类专业教学指导委员会秘书长





于永鲜
副教授





王慧龙
大连理工大学化学学院教授





陶胜洋
副教授





刘淑芹
副教授"
"1553835633-211","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","大学物理4：光学、近代物理","https://www.icourse163.org/course/TONGJI-45007","第6次开课","理学","2019年02月20日 ~ 2019年05月25日","进行至第6周，共14周","3-5小时每周","已有2687人参加","立即参加","(57)","授课老师



倪忠强
同济大学物理科学与工程学院 教授





顾牡
物理科学与工程学院 教授





王祖源
教授"
"1553835802-266","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","C语言程序设计","https://www.icourse163.org/course/DLUT-1001948002","第5次开课","计算机","2019年02月25日 ~ 2019年06月30日","进行至第5周，共18周","3-5小时","已有8696人参加","立即参加","(110)","授课老师



朱鸣华
教授





罗晓芳
副教授





孟军
教授





汪德刚
副教授





董明
副教授





洪昕
教授





陈雪龙
副教授





王东
副教授"
"1553836270-454","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","药物分析","https://www.icourse163.org/course/CPU-1001626011","第6次开课","医药卫生","2019年03月04日 ~ 2019年07月20日","进行至第4周，共20周","1-2每周","已有4280人参加","立即参加","(62)","授课老师



柳文媛
教授





宋沁馨
教授/博士生导师





吴春勇
副教授"
"1553835560-180","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","c#程序设计","https://www.icourse163.org/course/PKU-1001663016","第6次开课","计算机","2019年02月18日 ~ 2019年06月18日","进行至第6周，共18周","4-6小时每周","已有11609人参加","立即参加","(212)","授课老师



唐大仕
北京大学博士、教师"
"1553836935-727","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","物理光学","https://www.icourse163.org/course/HIT-1001515003","第7次开课","工学","2019年03月18日 ~ 2019年07月15日","进行至第2周，共18周","4","已有1379人参加","立即参加","(8)","授课老师



哈斯乌力吉
教授"
"1553837140-809","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","数据结构","https://www.icourse163.org/course/ZJU-93001","第8次开课","计算机","2019年03月01日 ~ 2019年05月30日","进行至第5周，共13周","3-8小时每周","已有118880人参加","立即参加","(810)","授课老师



陈越
教授





何钦铭
教授"
"1553836238-441","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","实用大众线性代数(MATLAB版)","https://www.icourse163.org/course/XIDIAN-1001775006","第6次开课","理学","2019年03月03日 ~ 2019年07月12日","进行至第4周，共19周","3-5小时每周","已有8082人参加","立即参加","(218)","授课老师



杨威
副教授





陈怀琛
教授





马建荣
教授"
"1553837133-806","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","大学计算机","https://www.icourse163.org/course/BIT-47004","第8次开课","计算机","2019年02月18日 ~ 2019年07月31日","进行至第6周，共24周","2-3小时每周","已有57284人参加","立即参加","(1589)","授课老师



李凤霞
教授





陈宇峰
副教授





高玉金
讲师





冷金麟
副教授





辛欣
讲师





赵霞
副教授





张春英
教授





李仲君
助理研究员





余月
讲师





赵三元
讲师"
"1553835800-265","https://www.icourse163.org/category/guojiajingpin#?type=30&orderBy=0&pageIndex=1","结晶学及矿物学","https://www.icourse163.org/course/CUG-1001902005","第5次开课","理学","2019年02月25日 ~ 2019年06月16日","进行至第5周，共16周","3-5小时/每周","已有1885人参加","立即参加","(21)","授课老师



赵珊茸
教授 博导





钟玉芳
副教授





余淳梅
副教授





边秋娟
副教授





刘嵘
副教授"
