,课程名,专业类别,所属大学,开课次数,开课日期,结课日期,学时安排,持续周数,当前状态,参加人数,课程评价数,授课教师
0,无机化学（上）,理学,大连理工大学,5,2019-02-19,2019-05-27,4.0,14,立即参加,4193,71,孟长功教授，国家级教学名师，教育部高等学校实验教学指导委员会委员胡涛教授，辽宁省普通高等学校化学类专业教学指导委员会秘书长于永鲜副教授王慧龙大连理工大学化学学院教授陶胜洋副教授刘淑芹副教授
1,大学物理4：光学、近代物理,理学,同济大学,6,2019-02-20,2019-05-25,4.0,14,立即参加,2687,57,倪忠强同济大学物理科学与工程学院 教授顾牡物理科学与工程学院 教授王祖源教授
2,C语言程序设计,计算机,大连理工大学,5,2019-02-25,2019-06-30,4.0,18,立即参加,8696,110,朱鸣华教授罗晓芳副教授孟军教授汪德刚副教授董明副教授洪昕教授陈雪龙副教授王东副教授
3,药物分析,医药卫生,中国药科大学,6,2019-03-04,2019-07-20,1.5,20,立即参加,4280,62,柳文媛教授宋沁馨教授/博士生导师吴春勇副教授
4,c#程序设计,计算机,北京大学,6,2019-02-18,2019-06-18,5.0,18,立即参加,11609,212,唐大仕北京大学博士、教师
5,物理光学,工学,哈尔滨工业大学,7,2019-03-18,2019-07-15,4.0,18,立即参加,1379,8,哈斯乌力吉教授
6,数据结构,计算机,浙江大学,8,2019-03-01,2019-05-30,5.5,13,立即参加,118880,810,陈越教授何钦铭教授
7,实用大众线性代数(MATLAB版),理学,西安电子科技大学,6,2019-03-03,2019-07-12,4.0,19,立即参加,8082,218,杨威副教授陈怀琛教授马建荣教授
8,大学计算机,计算机,北京理工大学,8,2019-02-18,2019-07-31,2.5,24,立即参加,57284,1589,李凤霞教授陈宇峰副教授高玉金讲师冷金麟副教授辛欣讲师赵霞副教授张春英教授李仲君助理研究员余月讲师赵三元讲师
9,结晶学及矿物学,理学,中国地质大学,5,2019-02-25,2019-06-16,4.0,16,立即参加,1885,21,赵珊茸教授 博导钟玉芳副教授余淳梅副教授边秋娟副教授刘嵘副教授
10,计算思维的结构,计算机,桂林电子科技大学,6,2019-02-25,2019-06-21,4.0,17,立即参加,2548,389,董荣胜教授钟艳如教授李凤英副教授孟瑜副教授汪华登高级实验师孙晋永讲师
11,营养与健康,医药卫生,南京大学,6,2019-03-11,2019-06-10,3.0,14,立即参加,8124,354,郑伟娟教授
12,精密机械设计,工学,武汉大学,6,2019-02-18,2019-04-14,4.0,8,立即参加,1153,15,许贤泽教授、博士生导师
13,线性代数与解析几何,理学,西安交通大学,4,2019-02-18,2019-06-23,4.0,18,立即参加,1544,65,李换琴教授李继成教授张永怀副教授刘康民副教授张芳讲师褚蕾蕾副教授齐雪林讲师赵小艳副教授王勇茂副教授
